name,year,summary,url
Outline of the American Civil War,Unknown,"The following outline is provided as an overview of and topical guide to the American Civil War:
American Civil War – civil war in the United States of America that lasted from 1861 to 1865. Eleven Southern slave states declared their secession from the United States and formed the Confederate States of America, also known as ""the Confederacy."" Led by Jefferson Davis, the Confederacy fought against the United States (the Union), which was supported by all the free states (where slavery had been ",https://en.wikipedia.org/wiki/Outline_of_the_American_Civil_War
List of Ottoman battles in World War I,Unknown,"This is a list of battles in World War I in which the Ottoman Empire fought. The Ottoman Empire fought on many fronts including the Eastern, Romanian and Macedonian fronts. Only battles in which the Ottoman Empire was one of the major belligerents are shown.",https://en.wikipedia.org/wiki/List_of_Ottoman_battles_in_World_War_I
the Imjin River,Unknown,"The Battle of the Imjin River (Filipino: Labanan sa Ilog Imjin), also known as the Battle of Solma-ri (Korean: 설마리 전투) or Battle of Gloster Hill (글로스터 고지 전투) in South Korea, or as Battle of Xuemali (Chinese: 雪马里战斗; pinyin: Xuě Mǎ Lǐ Zhàn Dòu) in China, took place 22–25 April 1951 during the Korean War. Troops from the Chinese People's Volunteer Army (PVA) attacked United Nations Command (UN) positions on the lower Imjin River in an attempt to achieve a breakthrough and recapture the South Korean",https://en.wikipedia.org/wiki/Battle_of_the_Imjin_River
Belvoir Castle,Unknown,"The Battle of Belvoir Castle, also called the Battle of Le Forbelet, was a part of Saladin’s campaign in May — August 1182 against the Crusaders. Crusader forces led by King Baldwin IV of Jerusalem battled with Ayyubid forces from Egypt commanded by Saladin. Saladin took action in Damascus on June 11, 1182, together with his regent Farrukh Shah. Entering Palestine from the south of Tiberias, Saladin encountered the Crusader army coming from Transjordan near Belvoir Castle.
The theatre of operati",https://en.wikipedia.org/wiki/Battle_of_Belvoir_Castle
Medieval: Total War,Unknown,"Medieval: Total War is a turn-based strategy and real-time tactics computer game developed by Creative Assembly and published by Activision. Set in the Middle Ages, it is the second game in the Total War series, following on from the 2000 title Shogun: Total War. Originally announced in August 2001, the game was released in North America on 20 August 2002 and in Europe on 30 August for Microsoft Windows.
Following a similar form of play to Shogun: Total War, the player builds a dynastic empire i",https://en.wikipedia.org/wiki/Medieval:_Total_War
First El Alamein,Unknown,"The First Battle of El Alamein (1–27 July 1942) was a battle of the Western Desert campaign of World War II, fought in Egypt between Axis (German and Italian) forces of the Panzer Army Africa—which included the Afrika Korps under Field Marshal Erwin Rommel—and Allied (British Empire and Commonwealth) forces of the Eighth Army under General Claude Auchinleck.
In this battle the British halted a second advance by the Axis forces into Egypt. Axis positions near El Alamein, only 106 km (66 mi) from ",https://en.wikipedia.org/wiki/First_Battle_of_El_Alamein
El Alamein,Unknown,"There were two Battles of El Alamein in World War II, both fought in 1942. The battles occurred during the North African campaign in Egypt, in and around an area named after a railway stop called El Alamein.

First Battle of El Alamein: 1–27 July 1942. the advance of Axis troops on Alexandria was blunted by the Allies, stopping the Italian and German forces that were trying to outflank the Allies' position
Second Battle of El Alamein: 23 October – 4 November 1942. This was an Allied Victory that",https://en.wikipedia.org/wiki/Battle_of_El_Alamein
the Atlantic,Unknown,"The Battle of the Atlantic, the longest continuous military campaign in World War II, ran from 1939 to the defeat of Nazi Germany in 1945, covering a major part of the naval history of World War II. At its core was the Allied naval blockade of Germany, announced the day after the declaration of war, and Germany's subsequent counterblockade. The campaign peaked from mid-1940 to the end of 1943.
The Battle of the Atlantic pitted U-boats and other warships of the German Kriegsmarine (navy) and airc",https://en.wikipedia.org/wiki/Battle_of_the_Atlantic
Chipyong-ni,Unknown,"The Battle of Chipyong-ni (French: Bataille de Chipyong-ni), also known as the Battle of Dipingli (Chinese: 砥平里战斗; pinyin: Dǐpínglǐ Zhàndòu), was a decisive battle of the Korean War that took place from 13 to 14 February 1951 between US and French units of the US 23rd Infantry Regiment and various units of the Chinese People's Volunteer Army (PVA) around the village of Chipyong-ni. The result was a United Nations Command victory. The battle, along with the Third Battle of Wonju, has been called ",https://en.wikipedia.org/wiki/Battle_of_Chipyong-ni
Ma'arra,Unknown,"The siege of Ma'arra occurred in late 1098 in the city of Ma'arrat Nu'man, in what is modern-day Syria, during the First Crusade. It is infamous for the claims of widespread cannibalism committed by the Crusaders.",https://en.wikipedia.org/wiki/Siege_of_Ma%27arra
Mobile campaign,Unknown,"A mobile campaign is a campaign, usually marketing, advertising, or public relations-related, through which organizations contact their audience through SMS (text messaging). This form of campaigning allows organizations to reach out and establish relationships with an audience in a more individualized, intimate way. The foundational function of mobile campaigns is regularly referred to as mobile marketing.  A campaign's goal can have varied consumer consumption objectives including flashing (sh",https://en.wikipedia.org/wiki/Mobile_campaign
Tololing,Unknown,The Battle of Tololing was a pivotal battle in the Kargil War between India and troops from one full battalion of Pakistan’s Northern Light Infantry who were aided by Pakistani irregulars in 1999.,https://en.wikipedia.org/wiki/Battle_of_Tololing
List of naval battles of the American Civil War,Unknown,"The naval battles of the American Civil War, fought between the Union and the Confederacy, changed the foundations of naval warfare with the first use of ironclads and submarines, and the introduction of newer and more powerful naval artillery.
The first shots of the naval war were fired on April 12, 1861, during the Battle of Fort Sumter, by the US Revenue Cutter Service cutter USRC Harriet Lane. The final shots were fired on June 22, 1865, by the Confederate raider CSS Shenandoah in the Bering",https://en.wikipedia.org/wiki/List_of_naval_battles_of_the_American_Civil_War
"El Alamein: Battles in North Africa, 1942",Unknown,"El Alamein: Battles in North Africa, 1942 is a board wargame published by Simulations Publications Inc. (SPI) in 1973 that simulates the final four months (July–October 1942) of the North African campaign during World War II.","https://en.wikipedia.org/wiki/El_Alamein:_Battles_in_North_Africa,_1942"
Battle Without Honor or Humanity,Unknown,"""Battle Without Honor or Humanity"" (バトル･ウィズアウト･オナー・オア・ヒューマニティー) is an instrumental by the Japanese rock musician Tomoyasu Hotei. It was originally featured in the 2000 film New Battles Without Honor and Humanity (also known as Another Battle) by Junji Sakamoto, which Hotei wrote the soundtrack for and acted in.
On the film's soundtrack, the piece is titled ""New Battles Without Honor and Humanity Theme"" (新・仁義なき戦いのテーマ, Shin Jingi Naki Tatakai no Tēma). A live performance of the song appears on Hot",https://en.wikipedia.org/wiki/Battle_Without_Honor_or_Humanity
Foyle's War,Unknown,"Foyle's War is a British detective drama television series set during and shortly after the Second World War, created by Midsomer Murders screenwriter and author Anthony Horowitz and commissioned by ITV after the long-running series Inspector Morse ended in 2000. It began broadcasting on ITV in October 2002. ITV director of programmes Simon Shaps cancelled Foyle's War in 2007, but Peter Fincham (Shaps's replacement) revived the programme after good ratings for 2008's fifth series. The final epis",https://en.wikipedia.org/wiki/Foyle%27s_War
Stalingrad,Unknown,"The Battle of Stalingrad (17 July 1942 – 2 February 1943) was a major battle on the Eastern Front of World War II, beginning when Nazi Germany and its Axis allies attacked and became locked in a protracted struggle with the Soviet Union for control over the Soviet city of Stalingrad (now known as Volgograd) in southern Russia. The battle was characterized by fierce close-quarters combat and direct assaults on civilians in aerial raids; the battle epitomized urban warfare, and it was the single l",https://en.wikipedia.org/wiki/Battle_of_Stalingrad
Logistics in World War I,Unknown,"Logistics in World War I was the organising and delivery of supplies to the armed forces of World War I.

",https://en.wikipedia.org/wiki/Logistics_in_World_War_I
Isandlwana,Unknown,"The Battle of Isandlwana (alternative spelling: Isandhlwana) on 22 January 1879 was the second major encounter in the Anglo-Zulu War between the British Empire and the Zulu Kingdom – the Battle of Nyezane having been fought and won earlier on the same day by Colonel Pearson's Coastal Column. 11 days after the British invaded the Zulu Kingdom in Southern Africa, a Zulu force of some 20,000 warriors attacked a portion of the British main column consisting of approximately 1,800 British, colonial a",https://en.wikipedia.org/wiki/Battle_of_Isandlwana
Baghdad,Unknown,"The siege of Baghdad took place in early 1258. A large army commanded by Hulegu, a prince of the Mongol Empire, attacked the historic capital of the Abbasid Caliphate after a series of provocations from its ruler, caliph al-Musta'sim. Within a few weeks, Baghdad fell and was sacked by the Mongol army—al-Musta'sim was killed alongside hundreds of thousands of his subjects. The city's fall has traditionally been seen as marking the end of the Islamic Golden Age; in reality, its ramifications are u",https://en.wikipedia.org/wiki/Siege_of_Baghdad
Savo Island,Unknown,"The Battle of Savo Island, also known as the First Battle of Savo Island and in Japanese sources as the First Battle of the Solomon Sea (第一次ソロモン海戦, Dai-ichi-ji Soromon Kaisen), and colloquially among Allied Guadalcanal veterans as the Battle of the Five Sitting Ducks, was a naval battle during the Solomon Islands campaign of the Pacific War of World War II between the Imperial Japanese Navy and Allied naval forces. The battle took place on 8–9 August 1942 and was the first major naval engagement",https://en.wikipedia.org/wiki/Battle_of_Savo_Island
Pyongyang (1950),Unknown,"The Battle of Pyongyang (17–19 October 1950) was one of the major battles of the United Nations' offensive during the Korean War. Following the Battle of Inchon, the UN forces re-captured Seoul, the capital of South Korea, and proceeded to advance into North Korea. Shortly after advancing, the American and South Korean forces faced the North Korean defenses near Pyongyang, the capital of North Korea, on 17 October.
North Korea's leadership and its main forces had already withdrawn to Kanggye, al",https://en.wikipedia.org/wiki/Battle_of_Pyongyang_(1950)
Khankala (1222),Unknown,"During a raid on the Caucasus conducted by the Mongol army led by Subutai and Jebe in 1222, its army clashed with a united force of North Caucasians and Kipchak Turks. The battle ended in a victory for the Mongols and the complete annihilation of the united army of North Caucasians and Kipchaks. Following their victory, the Mongols ravaged the North Caucasus, before continuing their campaign northwards.",https://en.wikipedia.org/wiki/Battle_of_Khankala_(1222)
Pliska,Unknown,"The Battle of Pliska or Battle of Vărbitsa Pass was a series of battles between troops, gathered from all parts of the Byzantine Empire, led by the Emperor Nicephorus I, and the First Bulgarian Empire, governed by Khan Krum. The Byzantines plundered and burned the Bulgar capital Pliska which gave time for the Bulgarians to block passes in the Balkan Mountains that served as exits out of Bulgaria. The final battle took place on 26 July 811, in some of the passes in the eastern part of the Balkans",https://en.wikipedia.org/wiki/Battle_of_Pliska
Nicopolis,Unknown,"The Battle of Nicopolis took place on 25 September 1396 and resulted in the rout of an allied Crusader army (assisted by the Venetian navy) at the hands of an Ottoman force, raising the siege of the Danubian fortress of Nicopolis and leading to the end of the Second Bulgarian Empire. It is often referred to as the Crusade of Nicopolis as it was one of the last big Crusades of the Middle Ages, together with the Crusade of Varna in 1443–1444. By their victory at Nicopolis, the Turks discouraged th",https://en.wikipedia.org/wiki/Battle_of_Nicopolis
the Dardanelles (1807),Unknown,The Battle of the Dardanelles took place on 22 May (10 MayOld Style) 1807 as a part of the Napoleonic Wars during the Russo-Turkish War of 1806–1812. It was fought between the Russian and Ottoman navies near the Dardanelles Strait.,https://en.wikipedia.org/wiki/Battle_of_the_Dardanelles_(1807)
Tamburlaine the Great: The Angorra,Unknown,"Tamburlaine the Great, subtitled ""The Battle of Angorra, 1402"", is a board wargame published by Simulations Publications Inc. (SPI) in 1979 that was one of the games in the Great Medieval Battles ""quadrigame"" — a set of four thematically linked games that use the same set of rules. The game simulates the Battle of Angorra in 1402.",https://en.wikipedia.org/wiki/Tamburlaine_the_Great:_The_Battle_of_Angorra
Napoleonic weaponry and warfare,Unknown,"Napoleon I, Emperor of the French, is recognized as the greatest early modern warfare commander in military history. His main strategy was focusing on one part of the enemy, quickly defeating them, and continuing onward. His success was made possible not only by his ambition, but also through the dynamic composition of his army. Napoleon would see his equipment being gained through provisional control of the armories of France, thus allowing the weapons direct control by government.

",https://en.wikipedia.org/wiki/Napoleonic_weaponry_and_warfare
Vietnam War order of battle: Australia,Unknown,"The order of battle of Australian forces during the Vietnam War consisted of a small group of military advisors from 1962, but grew to include an infantry battalion based in Bien Hoa in 1965. This force was then replaced by a two- and later three-battalion task force with supporting arms based at Nui Dat which operated primarily in Phuoc Tuy Province between 1966–71, with logistic elements at Vung Tau. Airforce units committed initially consisted of transport aircraft, but were followed by helic",https://en.wikipedia.org/wiki/Vietnam_War_order_of_battle:_Australia
List of battles 1601–1800,Unknown,,https://en.wikipedia.org/wiki/List_of_battles_1601%E2%80%931800
Naval battles of the American Revolutionary War,Unknown,"The American Revolutionary War saw a series of battles involving naval forces of the British Royal Navy and the Continental Navy from 1775, and of the French Navy from 1778 onwards. Although the British enjoyed more numerical victories, these battles culminated in the surrender of the British Army force of Lieutenant-General Earl Charles Cornwallis, an event that led directly to the beginning of serious peace negotiations and the eventual end of the war. From the start of the hostilities, the Br",https://en.wikipedia.org/wiki/Naval_battles_of_the_American_Revolutionary_War
Tanks in World War I,Unknown,"The development of tanks in World War I was a response to the stalemate that developed on the Western Front. Although vehicles that incorporated the basic principles of the tank (armour, firepower, and all-terrain mobility) had been projected in the decade or so before the War, it was the alarmingly heavy casualties of the start of its trench warfare that stimulated development. Research took place in both Great Britain and France, with Germany only belatedly following the Allies' lead.
In Great",https://en.wikipedia.org/wiki/Tanks_in_World_War_I
Aqaba,Unknown,"The Battle of Aqaba was fought for the Red Sea port of Aqaba (now in Jordan) during the Arab Revolt of World War I. The attacking forces, led by Sherif Nasir and Auda abu Tayi and advised by T. E. Lawrence (""Lawrence of Arabia""), were victorious over the Ottoman Empire defenders.",https://en.wikipedia.org/wiki/Battle_of_Aqaba
Ancient Greek warfare,Unknown,"Warfare occurred throughout the history of Ancient Greece, from the Greek Dark Ages onward. The Greek 'Dark Ages' drew to an end as a significant increase in population allowed urbanized culture to be restored, which led to the rise of the city-states (Poleis). These developments ushered in the period of Archaic Greece (800–480 BC). They also restored the capability of organized warfare between these Poleis (as opposed to small-scale raids to acquire livestock and grain, for example). The fracti",https://en.wikipedia.org/wiki/Ancient_Greek_warfare
"Naval campaigns, operations and battles of the Napoleonic Wars",Unknown,"The naval campaigns, operations and battles of the Napoleonic Wars were events during the period of World-wide warfare between 1802 and 1814 that were undertaken by European powers in support of their land-based strategies. All events included in this article represent fleet actions that involved major naval commands larger than 3–4 ships of the line, and usually commanded by a flag officer.
The period commenced with the breakdown of the Peace of Amiens on the 16 May 1803. Three days later Cornw","https://en.wikipedia.org/wiki/Naval_campaigns,_operations_and_battles_of_the_Napoleonic_Wars"
Battle axe,Unknown,"A battle axe (also battle-axe, battle ax, or battle-ax) is an axe specifically designed for combat. Battle axes were designed differently to utility axes, with blades more akin to cleavers than to wood axes. Many were suitable for use in one hand, while others were larger and were deployed two-handed.
Axes designed for warfare ranged in weight from just over 0.5 to 3 kg (1 to 7 lb), and in length from just over 30 cm (1 ft) to upwards of 150 cm (5 ft), as in the case of the Danish axe or the spa",https://en.wikipedia.org/wiki/Battle_axe
Orléans,Unknown,"The siege of Orléans (12 October 1428 – 8 May 1429) marked a turning point of the Hundred Years' War between France and England. The siege took place at the pinnacle of English power during the later stages of the war, but was repulsed by French forces inspired by the arrival of Joan of Arc. The French would then regain the initiative in the conflict and began to recapture territories previously occupied by the English.
The city held strategic and symbolic significance to both sides of the confl",https://en.wikipedia.org/wiki/Siege_of_Orl%C3%A9ans
the Catalaunian Plains,Unknown,"The Battle of the Catalaunian Plains (or Fields), also called the Battle of the Campus Mauriacus, Battle of Châlons, Battle of Troyes or the Battle of Maurica, took place on June 20, 451 AD, between a coalition, led by the Roman general Flavius Aetius and the Visigothic king Theodoric I, against the Huns and their vassals, commanded by their king, Attila. It proved to be one of the last major military operations of the Western Roman Empire, although Germanic foederati composed the majority of th",https://en.wikipedia.org/wiki/Battle_of_the_Catalaunian_Plains
Historical Medieval Battles,Unknown,"Historical Medieval Battles (HMB) or Buhurt (from Old French béhourd: ""joust"", ""tournament"") or Armored Combat  is a modern full contact fighting sport with steel blunt weapons characteristic for the Middle Ages. Rules on armour and weapons for historical authenticity and safety are published on Battle of the Nations website.
Fighters are covered in full modern produced protective armour, made from steel (or other metal alloy if permitted) made to aesthetically be close to their historical count",https://en.wikipedia.org/wiki/Historical_Medieval_Battles
List of battles with most United States military fatalities,Unknown,"This article contains a list of battles with most United States military fatalities, in terms of American deaths.",https://en.wikipedia.org/wiki/List_of_battles_with_most_United_States_military_fatalities
Bulgarian–Ottoman wars,Unknown,"The Bulgarian–Ottoman wars were fought between the kingdoms remaining from the disintegrating Second Bulgarian Empire, and the Ottoman Empire, in the second half of the 14th century. The wars resulted in the collapse and subordination of the Bulgarian Empire, and effectively came to an end with the Ottoman conquest of Tarnovo in July 1393, although other Bulgarian states held out slightly longer, such as the Tsardom of Vidin until 1396 and the Despotate of Dobruja until 1411. As a result of the ",https://en.wikipedia.org/wiki/Bulgarian%E2%80%93Ottoman_wars
Peleliu,Unknown,"The Battle of Peleliu, codenamed Operation Stalemate II by the US military, was fought between the United States and Japan during the Mariana and Palau Islands campaign of World War II, from 15 September to 27 November 1944, on the island of Peleliu.
US Marines of the 1st Marine Division and then soldiers of the US Army's 81st Infantry Division fought to capture an airfield on the small coral island of Peleliu. The battle was part of a larger offensive campaign known as Operation Forager, which ",https://en.wikipedia.org/wiki/Battle_of_Peleliu
Romania in World War II,Unknown,"The Kingdom of Romania, under the rule of King Carol II, initially maintained neutrality in World War II. However, fascist political forces, especially the Iron Guard, rose in popularity and power, urging an alliance with Nazi Germany and its allies. As the military fortunes of Romania's two main guarantors of territorial integrity—France and Britain—crumbled in the Battle of France, the government of Romania turned to Germany in hopes of a similar guarantee, unaware that Germany, in the supplem",https://en.wikipedia.org/wiki/Romania_in_World_War_II
Defense of Sihang Warehouse,Unknown,"The Battle of Sihang Warehouse (Chinese: 四行倉庫保衛戰)  took place from October 26 to November 1, 1937, and marked the beginning of the end of the three-month Battle of Shanghai in the opening phase of the Second Sino-Japanese War. Defenders of the warehouse held out against numerous waves of Japanese soldiers to cover Chinese forces retreating west during the Battle of Shanghai.
The Chinese defenders were composed of a single half-strength battalion from the elite German-trained 88th Division, who h",https://en.wikipedia.org/wiki/Defense_of_Sihang_Warehouse
United Nations Forces in the Korean War,Unknown,"After the outbreak of Korean War on 25 June 1950, 16 countries (deploying / arrival order): United States, United Kingdom, Australia, Netherlands, Canada, France, New Zealand, Philippines, Turkey, Thailand, South Africa, Greece, Belgium, Luxembourg, Ethiopia and Colombia provided combat troops for South Korea and they organized the United Nations Forces.",https://en.wikipedia.org/wiki/United_Nations_Forces_in_the_Korean_War
Valmy,Unknown,"The Battle of Valmy, also known as the Cannonade of Valmy, was the first major victory by the army of France during the Revolutionary Wars that followed the French Revolution. The battle took place on 20 September 1792 as Prussian troops commanded by the Duke of Brunswick attempted to march on Paris. Generals François Kellermann and Charles Dumouriez stopped the advance near the northern village of Valmy in Champagne-Ardenne.
In this early part of the Revolutionary Wars—known as the War of the F",https://en.wikipedia.org/wiki/Battle_of_Valmy
Eylau,Unknown,"The Battle of Eylau (also known as the Battle of Preussisch-Eylau) was a bloody and strategically inconclusive battle on 7 and 8 February [O.S. 26 and 27 Jan.] 1807 between Napoleon's Grande Armée and the Imperial Russian Army under the command of General Levin August von Bennigsen near the town of Preussisch Eylau in East Prussia. Late in the battle, the Russians received timely reinforcements from a Prussian division of von L'Estocq. After 1945, the town was renamed Bagrationovsk as part of Ka",https://en.wikipedia.org/wiki/Battle_of_Eylau
the Hyères Islands,Unknown,"The Battle of the Hyères Islands was a naval engagement fought between a combined British and Neapolitan fleet and the French Mediterranean Fleet on 13 July 1795 during the French Revolutionary Wars. Since the start of the war in 1793 the French fleet had suffered a series of damaging defeats and was restricted to limited operations off the French Mediterranean Coast in the face of a determined allied blockade. The French fleet, commanded by Pierre Martin, had sought to test the blockade during ",https://en.wikipedia.org/wiki/Battle_of_the_Hy%C3%A8res_Islands
Grunwald,Unknown,"The Battle of Grunwald was fought on 15 July 1410 during the Polish–Lithuanian–Teutonic War. The alliance of the Crown of the Kingdom of Poland and the Grand Duchy of Lithuania, led respectively by King Władysław II Jagiełło (Jogaila), and Grand Duke Vytautas, decisively defeated the German Teutonic Order, led by Grand Master Ulrich von Jungingen. Most of the Teutonic Order's leadership was killed or taken prisoner.
Although defeated, the Teutonic Order withstood the subsequent siege of the Malb",https://en.wikipedia.org/wiki/Battle_of_Grunwald
Leuctra,Unknown,"The Battle of Leuctra (Ancient Greek: Λεῦκτρα, Ancient Greek: [lêu̯k.tra]) was fought on 6 July 371 BC between the Boeotians led by the Thebans, and the Spartans along with their allies amidst the post–Corinthian War conflict. The battle took place in the vicinity of Leuctra, a village in Boeotia in the territory of Thespiae. The Theban victory shattered Sparta's immense influence over the Greek peninsula, which Sparta had gained with its victory in the Peloponnesian War a generation earlier.",https://en.wikipedia.org/wiki/Battle_of_Leuctra
Chippenham,Unknown,"The Battle of Chippenham was a January 878 battle between a Viking army led by Guthrum and an Anglo-Saxon army led by Alfred the Great. The Vikings forced Alfred to flee Chippenham and managed temporarily to gain control over most of Wessex.
The battle was part of a coordinated strike on Wessex led by Guthrum and Ubba, breaking an earlier truce between the two sides. Alfred, spending the winter at Chippenham, was without his army and was forced to flee to Athelney.
Following Ubba's defeat to Odd",https://en.wikipedia.org/wiki/Battle_of_Chippenham
War of 1812,Unknown,"The War of 1812 was fought by the United States and its allies against the United Kingdom and its allies in North America. It began when the United States declared war on Britain on 18 June 1812. Although peace terms were agreed upon in the December 1814 Treaty of Ghent, the war did not officially end until the peace treaty was ratified by the United States Congress on 17 February 1815.
Anglo–American tensions stemmed from long-standing differences over territorial expansion in North America and",https://en.wikipedia.org/wiki/War_of_1812
Visby,Unknown,"The Battle of Visby was fought in 1361 near the town of Visby on the island of Gotland, between the forces of the Danish king and the Gutnish country yeomen. The Danish force was victorious.",https://en.wikipedia.org/wiki/Battle_of_Visby
Midway,Unknown,"The Battle of Midway was a major naval battle in the Pacific Theater of World War II that took place on 4–7 June 1942, six months after Japan's attack on Pearl Harbor and one month after the Battle of the Coral Sea. The Japanese Combined Fleet under the command of Isoroku Yamamoto suffered a decisive defeat by the U.S. Pacific Fleet near Midway Atoll, about 1,300 mi (1,100 nmi; 2,100 km) northwest of Oahu. Yamamoto had intended to capture Midway and lure out and destroy the U.S. Pacific Fleet, e",https://en.wikipedia.org/wiki/Battle_of_Midway
Battles of Kawanakajima,Unknown,"The Battles of Kawanakajima (川中島の戦い, Kawanakajima no tatakai) were a series of battles fought in the Sengoku period of Japan between Takeda Shingen of Kai Province and Uesugi Kenshin of Echigo Province from 1553 to 1564. 
Shingen and Kenshin contested each other for control of the plain of Kawanakajima between the Sai River and Chikuma River in northern Shinano Province, located in the present-day city of Nagano. The battles were triggered after Shingen conquered Shinano, expelling Ogasawara Nag",https://en.wikipedia.org/wiki/Battles_of_Kawanakajima
Hussite Wars,Unknown,"The Hussite Wars, also called the Bohemian Wars or the Hussite Revolution, were a series of civil wars fought between the Hussites and the combined Catholic forces of Holy Roman Emperor Sigismund, the Papacy, and European monarchs loyal to the Catholic Church, as well as various Hussite factions. At a late stage of the conflict, the Utraquists changed sides in 1432 to fight alongside Roman Catholics and opposed the Taborites and other Hussite factions. These wars lasted from 1419 to approximatel",https://en.wikipedia.org/wiki/Hussite_Wars
List of World War II video games,Unknown,"Below is a list of video games that center on World War II for their setting.

",https://en.wikipedia.org/wiki/List_of_World_War_II_video_games
1948 Palestine war,Unknown,"The 1948 Palestine war was fought in the territory of what had been, at the start of the war, British-ruled Mandatory Palestine. During the war, Zionist forces conquered territory and established the State of Israel, over 700,000 Palestinians fled or were expelled, the British withdrew from Palestine, and four neighbouring Arab nations entered the territory and joined the war. By the end of the war, the State of Israel had held or captured about 78% of former territory of the mandate, the Kingdo",https://en.wikipedia.org/wiki/1948_Palestine_war
The Vietnam War (TV series),Unknown,"The Vietnam War is a 10-part American television documentary series about the Vietnam War produced and directed by Ken Burns and Lynn Novick, written by Geoffrey C. Ward, and narrated by Peter Coyote. The first episode premiered on PBS on September 17, 2017. This series is one of the few PBS series to carry a TV-MA rating.",https://en.wikipedia.org/wiki/The_Vietnam_War_(TV_series)
Caporetto,Unknown,"The Battle of Caporetto (also known as the Twelfth Battle of the Isonzo, the Battle of Kobarid or the Battle of Karfreit) took place on the Italian front of World War I.
The battle was fought between the Kingdom of Italy and the Central Powers and took place from 24 October to 19 November 1917, near the town of Kobarid (now in north-western Slovenia, then part of the Austrian Littoral), and near the river Isonzo. The battle was named after the Italian name of the town (also known as Karfreit in ",https://en.wikipedia.org/wiki/Battle_of_Caporetto
Camden,Unknown,"The Battle of Camden (August 16, 1780), also known as the Battle of Camden Court House, was a major victory for the British in the Southern theater of the American Revolutionary War. On August 16, 1780, British forces under Lieutenant General Charles, Lord Cornwallis routed the numerically superior American forces led by Major General Horatio Gates about four miles north of Camden, South Carolina, thus strengthening the British hold on the Carolinas following the capture of Charleston.
The rout ",https://en.wikipedia.org/wiki/Battle_of_Camden
Stary Sącz,Unknown,The Battle of Stary Sącz was a battle during the Third Mongol invasion of Poland where a Polish-Hungarian army defeated a Mongolian force in January 1288.,https://en.wikipedia.org/wiki/Battle_of_Stary_S%C4%85cz
American Civil War Museum,Unknown,"The American Civil War Museum is a multi-site museum in the Greater Richmond Region of central Virginia, dedicated to the history of the American Civil War. The museum operates three sites: The White House of the Confederacy, the American Civil War Museum at Historic Tredegar in Richmond, and the American Civil War Museum at Appomattox. It maintains a comprehensive collection of artifacts, manuscripts, Confederate books and pamphlets, and photographs.
In November 2013, the Museum of the Confeder",https://en.wikipedia.org/wiki/American_Civil_War_Museum
Stono Ferry,Unknown,"The Battle of Stono Ferry was an American Revolutionary War battle, fought on June 20, 1779, near Charleston, South Carolina. The rear guard from a British expedition retreating from an aborted attempt to take Charleston held off an assault by militia forces under American General Benjamin Lincoln.

",https://en.wikipedia.org/wiki/Battle_of_Stono_Ferry
List of theaters and campaigns of World War II,Unknown,"The List of theatres and campaigns of World War II subdivides military operations of World War II and contemporary wars by war, then by theater and then by campaign.",https://en.wikipedia.org/wiki/List_of_theaters_and_campaigns_of_World_War_II
Quatre Bras,Unknown,"The Battle of Quatre Bras was fought on 16 June 1815, as a preliminary engagement to the decisive Battle of Waterloo that occurred two days later. The battle took place near the strategic crossroads of Quatre Bras and was contested between elements of the Duke of Wellington's Anglo-allied army and the left wing of Napoleon Bonaparte's French Armée du Nord under Marshal Michel Ney. The battle was a tactical victory for Wellington (as he possessed the field at dusk), but because Ney prevented him ",https://en.wikipedia.org/wiki/Battle_of_Quatre_Bras
Thailand in the Vietnam War,Unknown,"The Kingdom of Thailand, under the administration of military dictator Field Marshal Thanom Kittikachorn, took an active role in the Vietnam War. Thailand was the third-largest provider of ground forces to South Vietnam, following the Americans and South Koreans.
Due to its proximity to Thailand, Vietnam's conflicts were closely monitored by Bangkok. Thai involvement did not become official until the total involvement of the United States in support of South Vietnam in 1963. The Thai government ",https://en.wikipedia.org/wiki/Thailand_in_the_Vietnam_War
839,Unknown,"The Battle of 839, also known as the Disaster of 839 or the Picts’ Last Stand, was fought in 839 between Vikings and the Picts and Gaels. It was a decisive victory for the Vikings in which Uuen, the king of the Picts, his brother Bran and Aed son of Boanta, King of Dál Riata, were all killed. Their deaths led to the rise of Kenneth I and the formation of the Kingdom of Scotland, as well as the disappearance of Pictish identity. It has therefore been described as ""one of the most decisive and imp",https://en.wikipedia.org/wiki/Battle_of_839
Indochina wars,Unknown,"During the Cold War, the Indochina wars (Vietnamese: Chiến tranh Đông Dương) were a series of wars which were waged in Indochina from 1945 to 1991, by communist forces (mainly ones led by Vietnamese communists) against the opponents (mainly the Vietnamese nationalists, Trotskyists, the State of Vietnam, the Republic of Vietnam, the French, American, Laotian royalist, Cambodian and Chinese communist forces). The term ""Indochina"" referred to former French Indochina, which included the current stat",https://en.wikipedia.org/wiki/Indochina_wars
Battles and operations of the Indian National Army,Unknown,"Battles and operations involving the Indian National Army (INA) during the Second World War took place in the South-East Asian theatre in the South-East Asian theatre. The INA’s involvement spanned espionage activities during the Malayan campaign in 1942, participation in the Japanese Ha-Go and U-Go offensives in the Upper Burma and Manipur, and later defensive engagements during the Allied Burma campaign.
The INA’s counterpart in Europe, the Indische Legion, saw limited deployment. Although it ",https://en.wikipedia.org/wiki/Battles_and_operations_of_the_Indian_National_Army
